prmca_pco_ofici	prmca_pco_moned	prmca_pco_produc	prmca_pnu_contr	prmca_pmo_maxim	prmca_pmo_utiliz	prmca_pmo_reserv	prmca_psa_discon	prmca_psa_conta	saldo_actual_giros	monto_mitigador
290	1	0	2401870	20000000.00	0.00	0.00	0.00	0.00	0.00	40000000.00	
290	1	0	2401872	53000000.00	39348381.47	0.00	13651618.53	13651618.53	26042736.50	100028431.36	
290	1	0	2401873	25000000.00	5480197.61	0.00	19519802.39	19519802.39	5480197.61	25000000.00	
225	1	0	2401878	44000000.00	28518896.41	0.00	15481103.59	15481103.59	28518896.41	23840396.56	
215	1	0	2401879	150000000.00	124582547.89	0.00	25417452.11	25417452.11	103723390.64	171183201.09	
343	1	0	2401880	15000000.00	1999877.44	0.00	13000122.56	13000122.56	1999877.44	0.00	
285	1	0	2401881	176000000.00	156979140.28	0.00	19020859.72	19020859.72	134717427.64	222809664.28	
215	1	0	2401882	5000000.00	2618804.80	0.00	2381195.20	2381195.20	2618804.80	0.00	
290	1	0	2401884	20000000.00	11063996.38	0.00	8936003.62	8936003.62	11063996.38	31326324.62	
660	1	0	2401886	70000000.00	45265729.22	0.00	24734270.78	24734270.78	35997001.60	0.00	
215	1	0	2401889	100000000.00	66988317.42	0.00	33011682.58	33011682.58	66988317.42	162456121.82	
280	1	0	2401893	45000000.00	21808021.73	0.00	23191978.27	23191978.27	21390587.93	180767100.65	
660	1	0	2401895	200000000.00	69743237.15	0.00	130256762.85	130256762.85	34080062.76	392647600.00	
346	1	0	2401900	10000000.00	4924380.12	0.00	5075619.88	5075619.88	4924380.12	0.00	
302	1	0	2401903	20000000.00	0.00	0.00	20000000.00	20000000.00	0.00	20000000.00	
290	1	0	2401908	6000000.00	5984626.00	0.00	15374.00	15374.00	5984626.00	32809701.22	
660	1	0	2401909	12000000.00	6063974.66	0.00	5936025.34	5936025.34	1878784.29	12000000.00	
265	1	0	2401910	196700000.00	193634373.69	0.00	3065626.31	3065626.31	193634373.69	108632406.19	
660	1	0	2401915	45000000.00	33303726.83	0.00	11696273.17	11696273.17	33303726.83	0.00	
343	1	0	2401917	25000000.00	18057629.82	0.00	6942370.18	6942370.18	13307002.80	0.00	
290	1	0	2401918	40000000.00	34365405.84	0.00	5634594.16	5634594.16	29224533.15	40000000.00	
660	1	0	2401920	14000000.00	0.00	0.00	14000000.00	14000000.00	0.00	0.00	
346	1	0	2401923	10000000.00	0.00	0.00	10000000.00	10000000.00	0.00	0.00	
255	1	0	2401925	125000000.00	108002228.65	0.00	16997771.35	16997771.35	0.00	0.00	
905	1	3	2401926	3000000000.00	1296416548.80	0.00	1703583451.20	1703583451.20	1295583214.80	0.00	
290	1	0	2401932	40000000.00	21612850.56	0.00	18387149.44	18387149.44	14749911.35	40000000.00	
346	1	0	2401933	30000000.00	0.00	0.00	30000000.00	30000000.00	0.00	0.00	
250	1	0	2401934	5000000.00	356428.50	0.00	4643571.50	4643571.50	356428.50	17148428.23	
265	1	0	2401935	35000000.00	11219836.92	0.00	23780163.08	23780163.08	11219836.92	23507514.68	
290	1	0	2401938	78000000.00	77021160.18	0.00	978839.82	978839.82	66039771.18	177303002.33	
215	1	0	2401939	50000000.00	33749912.39	100828.23	16149259.38	16250087.61	33749912.39	82860169.16	
953	1	0	2401940	42000000.00	0.00	0.00	0.00	0.00	0.00	45952537.40	
953	1	0	2401942	17000000.00	8451075.14	0.00	8548924.86	8548924.86	8451075.14	9395713.44	
255	1	0	2401943	250000000.00	182025386.87	0.00	67974613.13	67974613.13	93452518.95	0.00	
334	1	0	2401944	100000000.00	0.00	0.00	0.00	0.00	0.00	149564938.85	
322	1	0	2401945	10000000.00	5313891.50	0.00	4686108.50	4686108.50	5313891.50	48654495.51	
334	1	0	2401951	14000000.00	0.00	0.00	0.00	0.00	0.00	7632702.86	
295	1	0	2401953	11780000.00	3436218.21	0.00	8343781.79	8343781.79	3436218.21	11780000.00	
290	1	0	2401954	40000000.00	0.00	0.00	0.00	0.00	0.00	39907319.90	
215	1	0	2401955	10700000.00	0.00	0.00	10700000.00	10700000.00	0.00	11325273.20	
255	1	0	2401957	76000000.00	40058096.45	0.00	35941903.55	35941903.55	40058096.45	0.00	
255	1	0	2401958	75000000.00	52412427.65	0.00	22587572.35	22587572.35	52412427.65	0.00	
953	2	0	2401959							1147465580.13	
660	1	0	2401963	27700000.00	14769005.28	0.00	12930994.72	12930994.72	14769005.28	27700000.00	
660	1	0	2401966	10000000.00	5296272.05	0.00	4703727.95	4703727.95	5296272.05	10000000.00	
297	1	0	2401967	50000000.00	48256745.29	0.00	1743254.71	1743254.71	34503790.34	50000000.00	
215	1	0	2401968	40000000.00	36631168.15	98634.71	3270197.14	3368831.85	36631168.15	21007799.55	
346	1	0	2401969	130000000.00	118523447.24	0.00	11476552.76	11476552.76	118523447.24	189650919.36	
297	1	0	2401970	70000000.00	37169648.36	0.00	32830351.64	32830351.64	37169648.36	70000000.00	
295	1	0	2401973	100000000.00	89452549.55	0.00	10547450.45	10547450.45	89452549.55	167900906.96	
660	1	0	2401977	50000000.00	34189747.53	0.00	15810252.47	15810252.47	34189747.53	44705798.38	
297	1	0	2401978	120000000.00	51366234.60	0.00	68633765.40	68633765.40	51366234.60	202972064.16	
290	1	0	2401980	10000000.00	5819795.94	0.00	4180204.06	4180204.06	2072140.65	10995561.75	
255	1	0	2401984	15000000.00	0.00	3834800.00	11165200.00	15000000.00	0.00	0.00	
255	1	0	2401985	35000000.00	18533462.80	0.00	16466537.20	16466537.20	18533462.80	0.00	
265	1	0	2401986	20000000.00	17739267.81	0.00	2260732.19	2260732.19	17739267.81	73300130.39	
479	1	0	2401988	13000000.00	11089903.23	0.00	1910096.77	1910096.77	11089903.23	14310219.80	
346	1	0	2401990	35000000.00	20824239.24	0.00	14175760.76	14175760.76	20824239.24	0.00	
346	1	0	2401993	34000000.00	30537737.93	0.00	3462262.07	3462262.07	0.00	0.00	
295	1	0	2401995	11500000.00	10564036.50	0.00	935963.50	935963.50	10564036.50	11500000.00	
295	1	0	2401997	15000000.00	0.00	0.00	15000000.00	15000000.00	0.00	15000000.00	
280	1	0	2401998	50000000.00	40820580.03	0.00	9179419.97	9179419.97	37538308.58	50000000.00	
297	1	0	2402001	20000000.00	0.00	0.00	20000000.00	20000000.00	0.00	20000000.00	
302	1	0	2402005	53000000.00	4173338.74	0.00	48826661.26	48826661.26	4173338.74	53000000.00	
346	1	0	2402006	75000000.00	53008429.80	0.00	21991570.20	21991570.20	49768429.80	0.00	
215	1	0	2402009	78000000.00	71286198.54	0.00	6713801.46	6713801.46	71286198.54	84829481.33	
245	1	3	2402011	30000000.00	0.00	28111398.97	1888601.03	30000000.00	0.00	0.00	
322	1	0	2402014	20000000.00	15065675.31	0.00	4934324.69	4934324.69	10667586.21	19999999.00	
346	1	0	2402015	111000000.00	91548177.24	0.00	19451822.76	19451822.76	83006131.55	117747428.40	
322	1	0	2402017	20000000.00	2224414.24	0.00	17775585.76	17775585.76	2224414.24	20000000.00	
297	2	0	2402018							377563705.63	
290	1	0	2402020	17000000.00	12977229.00	0.00	4022771.00	4022771.00	4154139.01	13538582.06	
210	1	0	2402021	2000000000.00	1999966666.67	0.00	33333.33	33333.33	1671633333.33	189209804.74	
295	1	0	2402023	13200000.00	11260019.71	0.00	1939980.29	1939980.29	11260019.71	6957655.27	
280	1	0	2402026	115000000.00	0.00	0.00	115000000.00	115000000.00	0.00	0.00	
210	1	0	2402028	25000000.00	0.00	0.00	25000000.00	25000000.00	0.00	25000000.00	
322	1	0	2402031	44000000.00	0.00	0.00	0.00	0.00	0.00	56358283.59	
255	1	0	2402032	185000000.00	66884980.85	0.00	118115019.15	118115019.15	44164367.35	0.00	
280	1	0	2402033	118000000.00	0.00	0.00	0.00	0.00	0.00	171017042.91	
215	1	0	2402034	9000000.00	4234953.95	0.00	4765046.05	4765046.05	4234953.95	3602747.27	
205	1	0	2402037	50000000.00	10433972.91	0.00	39566027.09	39566027.09	3615582.09	69117744.63	
321	1	0	2402040	20000000.00	9494497.40	0.00	10505502.60	10505502.60	9494497.40	23609654.90	
346	1	0	2402042	30000000.00	16740311.04	0.00	13259688.96	13259688.96	16740311.04	30000000.00	
321	1	0	2402043	85000000.00	81531988.70	0.00	3468011.30	3468011.30	59570123.00	166700419.76	
210	1	0	2402044	15000000.00	13925182.35	0.00	1074817.65	1074817.65	10156601.15	11896344.37	
250	1	0	2402045	50000000.00	0.00	0.00	0.00	0.00	0.00	40696354.45	
215	1	0	2402050	23200000.00	12063290.06	0.00	11136709.94	11136709.94	12063290.06	35346605.14	
295	1	0	2402051	199280000.00	157708152.83	0.00	41571847.17	41571847.17	0.00	0.00	
215	1	0	2402053	19000000.00	7976614.60	0.00	11023385.40	11023385.40	7976614.60	18454039.65	
660	1	0	2402057	110000000.00	87894279.65	0.00	22105720.35	22105720.35	59341862.70	133486865.09	
285	1	0	2402058	19000000.00	8234041.80	0.00	10765958.20	10765958.20	8234041.80	19000000.00	
600	1	0	2402059	10000000.00	0.00	0.00	0.00	0.00	0.00	10000000.00	
255	1	0	2402061	75000000.00	53002067.69	0.00	21997932.31	21997932.31	43232954.99	0.00	
215	1	0	2402066	55000000.00	0.00	0.00	55000000.00	55000000.00	0.00	33026806.35	
255	1	0	2402069	70000000.00	44962328.25	0.00	25037671.75	25037671.75	44962328.25	68467644.91	
321	1	0	2402070	9700000.00	4230661.47	0.00	5469338.53	5469338.53	4230661.47	9700000.00	
255	1	0	2402071	45000000.00	10036222.12	0.00	34963777.88	34963777.88	9036222.12	200722498.67	
345	1	0	2402072	11200000.00	6248160.90	0.00	4951839.10	4951839.10	6248160.90	14881632.00	
334	1	0	2402073	20000000.00	7144320.47	0.00	12855679.53	12855679.53	7144320.47	20000000.00	
290	1	0	2402074	10000000.00	2593882.51	0.00	7406117.49	7406117.49	2593882.51	9706271.46	
346	1	0	2402076	14000000.00	10280664.71	0.00	3719335.29	3719335.29	10280664.71	0.00	
346	1	0	2402078	49500000.00	31937904.62	0.00	17562095.38	17562095.38	31937904.62	0.00	
346	1	0	2402079	60000000.00	15417922.29	0.00	44582077.71	44582077.71	15346944.24	0.00	
322	1	0	2402087	15000000.00	0.00	0.00	15000000.00	15000000.00	0.00	15000000.00	
660	1	0	2402088	15000000.00	8040785.89	0.00	6959214.11	6959214.11	8040785.89	15000000.00	
250	1	0	2402089	14900000.00	0.00	0.00	14900000.00	14900000.00	0.00	14861389.99	
215	1	0	2402091	90000000.00	43431762.48	126922.16	46441315.36	46568237.52	41319168.22	0.00	
942	2	3	2402092							97762429.90	
250	1	0	2402095	30000000.00	16704778.86	0.00	13295221.14	13295221.14	16704778.86	45122545.85	
290	1	0	2402096	75000000.00	0.00	0.00	75000000.00	75000000.00	0.00	91795699.21	
346	1	0	2402098	9200000.00	5090200.74	0.00	4109799.26	4109799.26	5090200.74	0.00	
346	1	0	2402099	15000000.00	0.00	0.00	0.00	0.00	0.00	15000000.00	
334	1	0	2402101	25000000.00	16916403.22	0.00	8083596.78	8083596.78	13158047.87	0.00	
250	1	0	2402103	50000000.00	0.00	9496185.00	40503815.00	50000000.00	0.00	50000000.00	
250	1	0	2402105	50000000.00	32888570.42	0.00	17111429.58	17111429.58	17293947.32	61076658.61	
265	1	0	2402108	50000000.00	28737381.63	0.00	21262618.37	21262618.37	28737381.63	45512180.05	
290	1	0	2402109	35000000.00	22847434.07	0.00	12152565.93	12152565.93	22847434.07	39712115.92	
334	1	0	2402112	12000000.00	3474519.33	0.00	8525480.67	8525480.67	3474519.33	0.00	
660	1	0	2402116	14000000.00	6246717.79	0.00	7753282.21	7753282.21	6246717.79	14165712.00	
321	1	0	2402118	15000000.00	12304568.42	0.00	2695431.58	2695431.58	6933547.92	15877994.45	
345	1	0	2402119	40000000.00	9297427.13	0.00	30702572.87	30702572.87	9297427.13	0.00	
290	1	0	2402124	8000000.00	1415756.40	0.00	6584243.60	6584243.60	0.00	8000000.00	
345	1	0	2402134	5000000.00	499909.34	0.00	4500090.66	4500090.66	499909.34	5000000.00	
210	1	3	2402149	9500000.00	0.00	0.00	9500000.00	9500000.00	0.00	4500000.00	
907	1	0	2402156	1899000000.00	0.00	0.00	0.00	0.00	498064959.63	1008605423.73	
377	2	3	2402157							0.00	
290	1	0	2402158	12500000.00	8683554.97	0.00	3816445.03	3816445.03	8683554.97	12500000.00	
346	1	0	2402165	200000000.00	195298250.32	0.00	4701749.68	4701749.68	195298250.32	157670769.14	
250	1	0	2402167	50000000.00	2359209.67	0.00	47640790.33	47640790.33	495440.27	50000000.00	
345	1	0	2402170	15000000.00	0.00	0.00	15000000.00	15000000.00	0.00	27499363.00	
479	1	0	2402172	20000000.00	6222037.11	0.00	13777962.89	13777962.89	6222037.11	20000000.00	
660	1	0	2402179	25000000.00	18039984.96	0.00	6960015.04	6960015.04	18039984.96	23775616.80	
660	1	0	2402185	53000000.00	46095904.11	0.00	6904095.89	6904095.89	39748950.06	53000000.00	
342	1	0	2402190	18000000.00	10683273.08	0.00	7316726.92	7316726.92	10683273.08	9184000.00	
210	1	0	2402193	29000000.00	22917758.30	0.00	6082241.70	6082241.70	22917758.30	29000000.00	
265	1	0	2402194	30000000.00	0.00	0.00	30000000.00	30000000.00	0.00	15807625.16	
943	1	3	2402198	160000000.00	134250000.01	0.00	25749999.99	25749999.99	131583333.30	62006879.73	
215	1	0	2402201	177000000.00	130619831.01	13525898.67	32854270.32	46380168.99	130619831.01	174574240.00	
660	1	0	2402202	27000000.00	18695454.09	0.00	8304545.91	8304545.91	18695454.09	27000000.00	
210	1	0	2402203	50000000.00	37021669.39	0.00	12978330.61	12978330.61	37021669.39	50000000.00	
205	1	0	2402204	90000000.00	5081415.50	0.00	84918584.50	84918584.50	5081415.50	107960276.10	
600	1	0	2402205	10000000.00	3661166.20	0.00	6338833.80	6338833.80	3661166.20	10000000.00	
334	1	0	2402207	250000000.00	146298495.08	0.00	103701504.92	103701504.92	146298495.08	302816412.47	
255	1	0	2402209	60000000.00	43016000.48	0.00	16983999.52	16983999.52	35547017.08	0.00	
245	1	3	2402213	35000000.00	0.00	29895728.50	5104271.50	35000000.00	0.00	0.00	
660	1	0	2402222	50000000.00	0.00	0.00	50000000.00	50000000.00	0.00	46840988.00	
210	1	0	2402228	31500000.00	0.00	0.00	31500000.00	31500000.00	0.00	30758930.05	
290	1	0	2402229	20000000.00	19534857.06	0.00	465142.94	465142.94	18206983.71	19419960.95	
964	1	3	2402231	25000000.00	0.00	0.00	25000000.00	25000000.00	0.00	92442695.28	
343	1	0	2402233	400000000.00	337838247.45	0.00	62161752.55	62161752.55	191550512.34	0.00	
346	1	0	2402234	15000000.00	8189674.99	0.00	6810325.01	6810325.01	8189674.99	0.00	
295	1	0	2402235	25000000.00	11431745.71	0.00	13568254.29	13568254.29	11431745.71	16710302.76	
345	1	0	2402239	20000000.00	17589870.65	0.00	2410129.35	2410129.35	17589870.65	21891909.53	
943	1	3	2402241	150000000.00	0.00	13555080.00	136444920.00	150000000.00	0.00	245142345.28	
290	1	0	2402242	12000000.00	8166288.29	0.00	3833711.71	3833711.71	8166288.29	12000000.00	
346	1	0	2402243	35000000.00	24208998.24	0.00	10791001.76	10791001.76	24208998.24	0.00	
280	1	0	2402244	60000000.00	0.00	0.00	60000000.00	60000000.00	0.00	60000000.00	
280	1	0	2402251	49500000.00	16533376.10	0.00	32966623.90	32966623.90	8000000.00	49500000.00	
334	1	0	2402252	8000000.00	4000000.00	0.00	4000000.00	4000000.00	4000000.00	8000000.00	
215	1	0	2402254	126000000.00	114232489.35	0.00	11767510.65	11767510.65	93454185.55	0.00	
326	1	0	2402257	25000000.00	15014685.88	0.00	9985314.12	9985314.12	13114303.98	41014274.98	
297	1	0	2402258	50000000.00	27161574.90	0.00	22838425.10	22838425.10	27161574.90	50000000.00	
302	1	0	2402261	7800000.00	4845236.81	0.00	2954763.19	2954763.19	4441051.36	7800000.00	
290	1	0	2402263	5000000.00	0.00	0.00	0.00	0.00	0.00	5000000.00	
297	1	0	2402264	260000000.00	248639424.15	0.00	11360575.85	11360575.85	248639424.15	0.00	
334	1	0	2402265	12000000.00	0.00	0.00	0.00	0.00	0.00	12000000.00	
290	1	0	2402267	12500000.00	10608771.91	0.00	1891228.09	1891228.09	7458771.91	100554742.40	
346	1	0	2402270	75000000.00	49038608.38	0.00	25961391.62	25961391.62	48971295.08	0.00	
290	1	0	2402272	31000000.00	24834098.93	0.00	6165901.07	6165901.07	19462631.70	24999236.51	
220	1	3	2402274	50000000.00	17152688.21	0.00	32847311.79	32847311.79	17152688.21	24418594.20	
295	1	0	2402275	20000000.00	9115421.38	0.00	10884578.62	10884578.62	0.00	20000000.00	
290	1	0	2402278	20000000.00	11752481.30	0.00	8247518.70	8247518.70	11752481.30	20000000.00	
342	1	0	2402283	10000000.00	6782127.35	0.00	3217872.65	3217872.65	6782127.35	0.00	
334	1	0	2402285	37000000.00	11700000.00	0.00	25300000.00	25300000.00	11700000.00	0.00	
321	1	0	2402286	80000000.00	56946213.14	0.00	23053786.86	23053786.86	52610163.92	313658992.33	
230	1	0	2402287	58000000.00	22318846.58	0.00	35681153.42	35681153.42	22318846.58	61227650.03	
295	1	0	2402288	70000000.00	61631806.95	0.00	8368193.05	8368193.05	36967334.79	141184925.03	
321	1	0	2402290	120000000.00	34185941.23	0.00	85814058.77	85814058.77	34185941.23	152000000.00	
210	1	0	2402292	6000000.00	0.00	0.00	6000000.00	6000000.00	0.00	6000000.00	
290	1	0	2402300	25000000.00	13295876.82	0.00	11704123.18	11704123.18	13295876.82	44807192.08	
250	1	0	2402302	15000000.00	6397480.69	0.00	8602519.31	8602519.31	6397480.69	15000000.00	
290	1	0	2402304	68000000.00	56354287.96	0.00	11645712.04	11645712.04	56354287.96	87717092.52	
240	1	0	2402307	120000000.00	37246010.01	0.00	82753989.99	82753989.99	37246010.01	0.00	
265	1	0	2402309	130000000.00	102925971.07	0.00	27074028.93	27074028.93	67324314.94	238503129.01	
290	1	0	2402310	10000000.00	0.00	0.00	10000000.00	10000000.00	0.00	10000000.00	
255	1	0	2402313	50000000.00	36354521.15	0.00	13645478.85	13645478.85	36210792.70	0.00	
660	1	0	2402314	15000000.00	11637081.61	0.00	3362918.39	3362918.39	8593335.74	15000000.00	
953	1	0	2402316	15000000.00	12570445.07	239230.08	2190324.85	2429554.93	12570445.07	11728013.84	
297	1	0	2402317	45000000.00	4546522.88	0.00	40453477.12	40453477.12	4546522.88	45000000.00	
290	1	0	2402318	22000000.00	19775274.72	0.00	2224725.28	2224725.28	19775274.72	22000000.00	
660	1	0	2402319	35000000.00	19515036.54	0.00	15484963.46	15484963.46	19515036.54	33792574.78	
250	1	0	2402322	12000000.00	112686.28	0.00	11887313.72	11887313.72	112686.28	12000000.00	
953	1	0	2402324	110000000.00	98356003.59	0.00	11643996.41	11643996.41	98356003.59	140371940.87	
215	1	0	2402326	35600000.00	20563868.69	0.00	15036131.31	15036131.31	20563868.69	0.00	
346	1	0	2402327	25000000.00	18414784.45	0.00	6585215.55	6585215.55	18414784.45	0.00	
321	1	0	2402331	4000000.00	4000000.00	0.00	0.00	0.00	0.00	3151048.79	
297	1	0	2402333	19500000.00	11995668.57	0.00	7504331.43	7504331.43	11995668.57	15456380.58	
290	1	0	2402334	100000000.00	32153723.50	0.00	67846276.50	67846276.50	31674084.30	186206672.26	
250	1	0	2402336	30000000.00	6244799.95	0.00	23755200.05	23755200.05	5078993.80	30000000.00	
295	1	0	2402338	40000000.00	17779432.99	0.00	22220567.01	22220567.01	17779432.99	40000000.00	
297	1	0	2402341	100000000.00	96753130.64	0.00	3246869.36	3246869.36	96432787.24	194059635.42	
346	1	0	2402343	42000000.00	40155873.94	0.00	1844126.06	1844126.06	29802913.64	42000000.00	
302	1	0	2402344	150000000.00	118389708.85	0.00	31610291.15	31610291.15	0.00	240146174.98	
290	1	0	2402346	155000000.00	118066438.80	0.00	36933561.20	36933561.20	118066438.80	432487177.99	
290	1	0	2402347	7250000.00	5786615.15	0.00	1463384.85	1463384.85	5786615.15	7250000.00	
230	2	0	2402348							0.00	
245	1	3	2402354	525000000.00	0.00	0.00	0.00	0.00	0.00	264999999.91	
210	1	0	2402357	20000000.00	13302553.72	0.00	6697446.28	6697446.28	0.00	38637400.83	
346	1	0	2402358	200000000.00	178422234.48	0.00	21577765.52	21577765.52	165685408.96	241324753.75	
265	1	0	2402359	23000000.00	13227937.86	0.00	9772062.14	9772062.14	13227937.86	23000000.00	
321	1	0	2402361	20000000.00	20000000.00	0.00	0.00	0.00	20000000.00	12115031.48	
210	1	0	2402362	200000000.00	195000000.00	0.00	5000000.00	5000000.00	195000000.00	200000000.00	
215	1	0	2402364	72500000.00	60809236.44	0.00	11690763.56	11690763.56	55258296.46	82120606.44	
215	1	0	2402367	95000000.00	49187284.15	0.00	45812715.85	45812715.85	49187284.15	115707553.00	
345	1	0	2402368	27000000.00	10451108.73	0.00	16548891.27	16548891.27	3851108.73	27453251.00	
343	1	0	2402372	365000000.00	350404547.68	0.00	14595452.32	14595452.32	350404547.68	0.00	
215	1	0	2402373	9345000.00	5874758.10	0.00	3470241.90	3470241.90	5874758.10	31784763.49	
210	1	0	2402377	600000000.00	523702086.04	0.00	76297913.96	76297913.96	427430823.68	599308692.80	
341	1	0	2402380	30000000.00	25350964.45	0.00	4649035.55	4649035.55	25350964.45	0.00	
205	2	0	2402382							311137169.05	
322	1	0	2402383	18000000.00	17398553.73	0.00	601446.27	601446.27	16195307.73	54677910.00	
343	1	0	2402384	138000000.00	17459408.65	0.00	120540591.35	120540591.35	7155071.68	369586310.40	
255	1	0	2402385	20000000.00	7012566.20	0.00	12987433.80	12987433.80	7012566.20	17717204.87	
245	2	0	2402386							0.00	
346	1	0	2402388	10000000.00	3180783.65	0.00	6819216.35	6819216.35	3180783.65	0.00	
290	1	0	2402390	12000000.00	7187470.04	0.00	4812529.96	4812529.96	7187470.04	11828512.26	
210	1	3	2402396	5500000.00	0.00	0.00	0.00	0.00	0.00	2542312.23	
210	1	3	2402397	3000000.00	0.00	0.00	0.00	0.00	0.00	2088594.48	
210	1	3	2402398	5500000.00	0.00	0.00	0.00	0.00	0.00	352102.19	
210	1	3	2402399	5000000.00	0.00	0.00	0.00	0.00	0.00	3135281.42	
322	1	0	2402400	7000000.00	0.00	0.00	7000000.00	7000000.00	0.00	22917611.93	
297	1	0	2402402	300000000.00	192322079.86	0.00	107677920.14	107677920.14	174590623.41	300000000.00	
905	1	3	2402404	65500000.00	46397849.60	0.00	19102150.40	19102150.40	45564516.27	80198649.91	
285	1	0	2402405	25000000.00	8839833.43	0.00	16160166.57	16160166.57	8839833.43	25000000.00	
235	1	0	2402406	50000000.00	30888466.60	0.00	19111533.40	19111533.40	30888466.60	0.00	
230	1	0	2402409	50000000.00	9404699.85	0.00	40595300.15	40595300.15	0.00	0.00	
205	1	0	2402410	280000000.00	0.00	0.00	0.00	0.00	0.00	228417594.26	
346	1	0	2402411	475950000.00	474185460.24	0.00	1764539.76	1764539.76	474185460.24	239110869.30	
235	2	0	2402412							0.00	
660	1	0	2402414	10500000.00	6191494.92	0.00	4308505.08	4308505.08	6191494.92	10500000.00	
297	1	0	2402415	73000000.00	34440958.16	0.00	38559041.84	38559041.84	34440958.16	103893167.85	
290	1	0	2402423	70000000.00	40827762.98	0.00	29172237.02	29172237.02	40423108.58	108659524.00	
240	2	3	2402424							17515971.88	
290	1	0	2402425	15000000.00	10078694.39	0.00	4921305.61	4921305.61	10078694.39	17259693.82	
230	1	0	2402426	10000000.00	0.00	0.00	0.00	0.00	5965253.47	10000000.00	
265	1	0	2402427	26000000.00	0.00	0.00	26000000.00	26000000.00	0.00	14694330.49	
295	1	0	2402428	64900000.00	63330737.68	0.00	1569262.32	1569262.32	55280998.62	0.00	
215	1	0	2402429	10000000.00	7915430.97	0.00	2084569.03	2084569.03	7915430.97	4632436.32	
250	1	0	2402430	12000000.00	0.00	0.00	12000000.00	12000000.00	0.00	12000000.00	
220	1	0	2402432	240000000.00	0.00	0.00	240000000.00	240000000.00	0.00	191284837.90	
270	1	0	2402433	2160000.00	1712818.26	0.00	447181.74	447181.74	1712818.26	2704408.00	
290	1	0	2402434	9000000.00	8028897.59	0.00	971102.41	971102.41	6295481.99	5970189.95	
341	1	0	2402436	15700000.00	2405875.00	0.00	13294125.00	13294125.00	2405875.00	7801567.80	
302	1	0	2402437	21800000.00	17385174.13	0.00	4414825.87	4414825.87	6044301.00	21805948.00	
230	1	0	2402440	250000000.00	56579657.64	0.00	193420342.36	193420342.36	56579657.64	299828082.45	
265	1	0	2402443	33800000.00	1863984.89	0.00	31936015.11	31936015.11	1863984.89	33800000.00	
290	1	0	2402444	34000000.00	28246864.42	0.00	5753135.58	5753135.58	28246864.42	20419045.04	
290	1	0	2402445	6500000.00	0.00	0.00	6500000.00	6500000.00	0.00	6459965.03	
210	1	3	2402446	3000000.00	0.00	0.00	0.00	0.00	0.00	0.00	
210	1	3	2402447	4000000.00	0.00	0.00	0.00	0.00	0.00	1433817.72	
290	1	0	2402449	15000000.00	12524281.06	0.00	2475718.94	2475718.94	12524281.06	14893306.80	
341	1	0	2402450	10000000.00	5496648.73	0.00	4503351.27	4503351.27	5401789.63	0.00	
265	1	0	2402451	46500000.00	27257676.59	0.00	19242323.41	19242323.41	27257676.59	41689047.38	
295	1	0	2402453	16900000.00	1839547.14	0.00	15060452.86	15060452.86	1839547.14	16900000.00	
479	1	0	2402454	8770000.00	0.00	0.00	8770000.00	8770000.00	0.00	8632658.27	
210	1	3	2402457	4000000.00	0.00	0.00	0.00	0.00	0.00	2148997.74	
290	1	0	2402458	8000000.00	2819400.99	0.00	5180599.01	5180599.01	0.00	2437692.01	
210	1	3	2402459	3800000.00	0.00	0.00	0.00	0.00	0.00	0.00	
290	1	0	2402460	10000000.00	8386699.26	0.00	1613300.74	1613300.74	8386699.26	9952672.26	
230	1	0	2402462	18000000.00	0.00	0.00	18000000.00	18000000.00	0.00	0.00	
285	1	0	2402463	15000000.00	0.00	0.00	15000000.00	15000000.00	0.00	30424720.94	
623	1	0	2402465	11000000.00	0.00	0.00	11000000.00	11000000.00	0.00	5886644.96	
215	1	0	2402466	200000000.00	186426265.79	0.00	13573734.21	13573734.21	186426265.79	220624042.01	
943	1	0	2402467	67600000.00	22821930.10	0.00	44778069.90	44778069.90	22821930.10	64566305.26	
250	1	0	2402470	200000000.00	62355124.95	0.00	137644875.05	137644875.05	0.00	227071545.05	
240	1	0	2402471	64500000.00	39119906.41	0.00	25380093.59	25380093.59	39119906.41	50066947.23	
290	1	0	2402473	15000000.00	8172792.54	0.00	6827207.46	6827207.46	8172792.54	8253928.06	
346	1	0	2402474	15000000.00	5851687.01	0.00	9148312.99	9148312.99	5851687.01	0.00	
290	1	0	2402475	15000000.00	12233008.01	0.00	2766991.99	2766991.99	12233008.01	17674485.58	
265	2	0	2402476							66448264.14	
347	1	0	2402477	35000000.00	26045437.85	0.00	8954562.15	8954562.15	20761982.55	0.00	
297	1	0	2402478	32000000.00	20094318.96	0.00	11905681.04	11905681.04	20094318.96	39501976.45	
250	1	0	2402480	24000000.00	14626469.52	0.00	9373530.48	9373530.48	14626469.52	24000000.00	
210	1	3	2402481	4500000.00	0.00	0.00	0.00	0.00	0.00	2567902.63	
270	1	0	2402482	18500000.00	16172173.96	0.00	2327826.04	2327826.04	16172173.96	18352268.16	
486	1	0	2402483	4500000.00	4430686.45	0.00	69313.55	69313.55	4430686.45	3317907.10	
240	1	0	2402484	250000000.00	76532710.71	0.00	173467289.29	173467289.29	76532710.71	149904000.00	
341	1	0	2402489	30000000.00	5362085.87	0.00	24637914.13	24637914.13	5362085.87	0.00	
